MatchId,market_normalised,Player,Option,legs,first_price,last_price,fixture,kickoff,turnover_within,currencies,currency,distinct_uids,turnover_is_mixed_currency,implied_prob_move,direction,is_sharp_move
37183511,Team shots on target,Remates a puerta equipo,England 7 or more,9,4.29,1.64,England - Costa Rica,2026-06-10 21:03:46,82.49,1,EUR,9,False,1.6158536585365855,steamer,True
33890210,Saves (Star Substitute),Paradas Yazeed Abu Laila (Suplente Estrella),6 or more,5,7.0,3.03,Austria - Jordan,2026-06-17 04:02:52,141.5,1,EUR,5,False,1.3102310231023104,steamer,True
36966609,Team corners,Corners equipo,Austria 3 or more,7,3.22,1.4,Argentina - Austria,2026-06-22 17:00:58,375.05,1,EUR,3,False,1.3000000000000003,steamer,True
36024480,Match,Partido,Over 2.5 goals y Over 7.5 corners,15,6.6,2.92,South Korea - Czech Republic,2026-06-12 02:00:54,104.98,1,EUR,14,False,1.2602739726027394,steamer,True
33890238,Match,Partido,Over 2.5 goals y Over 7.5 corners,18,6.35,2.97,Mexico - South Africa,2026-06-11 19:05:51,,2,,17,True,1.1380471380471378,steamer,True
36966591,Team corners,Corners equipo,Saudi Arabia 3 or more,10,3.18,1.57,Spain - Saudi Arabia,2026-06-21 16:00:48,196.76,1,EUR,9,False,1.0254777070063694,steamer,True
37183511,Team shots on target,Remates a puerta equipo,England 5 or more,5,2.41,1.19,England - Costa Rica,2026-06-10 21:03:46,288.34,1,EUR,4,False,1.0252100840336136,steamer,True
33890211,Team goal kicks,Saques de puerta equipo,Algeria 9 or more,14,2.77,1.4,Argentina - Algeria,2026-06-17 01:02:37,,2,,8,True,0.9785714285714285,steamer,True
33890290,Team Shots,Remates equipo,Scotland 17 or more,6,3.42,1.77,Haiti - Scotland,2026-06-14 01:02:33,,2,,3,True,0.9322033898305087,steamer,True
36966638,Hat trick (three or more goals) (Star Substitute),Hat trick (tres o más goles) (Suplente Estrella),Harry Kane,85,12.0,6.55,England - Ghana,2026-06-23 20:00:08,,2,,56,True,0.8320610687022902,steamer,True
36024520,Shots on target outside the box (Star Substitute),Remates a puerta desde fuera del área Cristiano Ronaldo (Suplente Estrella),2 or more,17,13.0,7.2,Portugal - Democratic Republic of the Congo,2026-06-17 17:01:15,158.38,1,EUR,9,False,0.8055555555555556,steamer,True
33890416,Saves (Star Substitute),Paradas Edouard Mendy (Suplente Estrella),4 or more,9,2.34,1.31,France - Senegal,2026-06-16 19:02:47,,2,,9,True,0.7862595419847326,steamer,True
36966638,Home-side combo (bet builder),Inglaterra,"England win, Over 8.5 corners y Harry Kane to score a Hat trick (three or more goals)",6,21.0,12.0,England - Ghana,2026-06-23 20:00:08,51.7,1,EUR,6,False,0.75,steamer,True
33890299,Match,Partido,Both teams to score y Over 11.5 corners,5,6.65,3.85,Belgium - Egypt,2026-06-15 19:00:29,50.84,1,EUR,2,False,0.7272727272727272,steamer,True
33890416,Saves (Star Substitute),Paradas Edouard Mendy (Suplente Estrella),5 or more,18,3.03,1.8,France - Senegal,2026-06-16 19:02:47,272.04,1,EUR,11,False,0.6833333333333335,steamer,True
33890444,Team Shots,Remates equipo,Croatia 10 or more,5,2.81,1.67,England - Croatia,2026-06-17 20:00:04,,2,,3,True,0.6826347305389222,steamer,True
